blueTeamTag,redTeamTag,gamelength,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Result
3,12,30,68,56,112,8,4,103,85,19,48,108,0
12,3,43,34,25,121,70,110,68,56,59,63,4,1
1,8,40,62,85,59,48,11,29,25,65,63,93,0
8,1,39,32,25,51,63,14,34,85,2,70,110,1
9,6,45,103,85,65,70,11,64,22,59,109,4,1
6,9,32,29,25,121,48,108,62,85,45,19,110,0
14,4,37,90,85,121,63,110,75,36,32,19,4,1
4,14,33,75,56,10,48,108,62,85,121,63,4,0
8,13,42,29,56,121,48,108,62,25,83,63,110,1
13,8,36,62,76,45,70,4,29,25,121,63,14,0
11,3,31,83,56,59,48,4,29,85,121,8,108,1
3,11,22,34,25,121,48,108,83,56,59,109,4,0
1,14,44,68,85,59,63,4,79,25,62,48,110,0
14,1,51,79,85,17,48,108,68,25,121,70,4,1
6,12,51,36,60,19,70,110,103,56,64,63,4,1
12,6,42,83,26,32,70,103,36,25,17,27,4,0
14,9,34,64,36,32,27,4,34,25,19,63,11,0
9,14,52,29,25,112,19,11,82,85,121,63,108,0
14,9,37,82,25,121,63,4,34,85,17,19,11,1
4,6,39,37,25,65,109,4,62,85,121,48,108,0
6,4,32,83,60,112,48,11,75,56,65,63,108,1
8,11,40,103,56,65,63,72,82,76,112,27,4,0
11,8,44,103,56,32,27,4,34,25,62,63,93,0
8,11,24,90,85,62,63,93,54,25,116,19,4,0
13,3,44,62,60,19,27,4,103,25,59,63,11,1
3,13,34,103,25,64,27,4,34,76,56,48,72,1
13,3,40,110,25,45,63,62,68,56,121,48,4,0
14,12,48,29,85,121,19,110,103,25,32,63,108,0
12,14,33,29,85,64,63,110,62,25,116,19,4,1
1,6,34,62,60,27,48,108,68,85,121,63,4,0
6,1,40,103,25,17,63,4,89,85,19,48,108,0
1,6,62,103,36,2,27,4,72,85,19,48,108,0
13,4,35,34,76,19,27,4,66,25,116,48,108,1
4,13,36,34,85,62,63,108,82,25,27,19,4,1
13,4,57,93,25,51,63,4,34,85,121,19,108,0
9,11,34,103,85,121,63,11,29,76,64,109,110,0
11,9,28,82,25,121,63,103,62,56,65,48,110,1
1,13,41,82,85,121,48,108,64,87,19,109,4,1
13,1,41,90,76,19,27,110,82,85,64,48,4,0
11,12,43,83,85,64,48,4,82,25,62,27,110,0
12,11,49,82,85,62,27,110,29,25,112,48,4,0
11,12,29,82,36,121,48,4,103,25,83,27,110,1
6,3,38,32,85,121,48,110,82,25,112,27,4,1
3,6,43,68,25,112,48,108,34,85,121,63,4,0
8,14,26,82,36,2,48,4,34,85,19,109,108,1
14,8,36,79,85,17,109,4,82,60,64,48,110,0
12,4,48,29,25,112,48,4,103,76,65,27,110,1
4,12,33,110,76,64,48,108,82,36,121,19,11,1
12,4,50,82,25,121,48,4,103,36,65,19,14,1
9,1,46,90,36,64,63,110,82,76,121,97,4,1
1,9,44,64,36,112,97,4,82,76,19,63,103,0
11,14,30,29,25,112,19,4,62,85,121,63,108,1
14,11,29,82,25,121,109,110,32,36,59,63,4,0
6,13,52,32,36,62,48,110,82,25,64,63,4,1
13,6,48,82,76,62,48,110,72,36,64,63,4,0
4,8,30,75,85,90,63,14,82,76,133,19,4,0
8,4,40,29,36,133,19,4,103,76,121,48,82,1
3,9,52,75,25,112,19,11,82,76,121,63,110,1
9,3,26,32,76,102,63,11,29,25,121,47,108,1
3,9,44,75,25,19,27,11,82,36,59,63,4,1
1,11,36,62,25,64,63,110,29,76,121,48,11,0
11,1,30,64,36,19,63,14,34,76,112,48,108,0
1,11,32,62,85,131,19,110,83,25,64,48,4,0
13,12,34,29,25,64,63,110,82,36,19,27,14,0
12,13,30,32,85,64,109,4,82,36,133,63,11,1
6,14,58,64,85,121,48,14,62,36,112,109,108,0
14,6,36,90,85,121,63,108,34,36,62,19,11,0
6,14,44,72,85,121,48,108,62,36,133,63,110,0
4,9,56,103,76,121,27,4,90,85,19,63,108,0
9,4,29,29,76,65,63,11,82,36,62,19,4,1
9,13,52,29,25,64,27,11,83,60,62,63,4,0
13,9,39,29,36,19,63,4,32,25,112,48,108,0
9,13,32,82,85,19,27,11,29,76,64,63,4,1
11,4,36,54,77,62,8,4,82,76,65,19,14,1
4,11,26,29,85,19,48,108,62,76,112,63,4,0
3,1,43,29,36,64,63,108,32,76,121,27,4,1
1,3,31,62,25,19,63,14,82,36,121,27,108,1
3,1,34,34,36,64,48,14,62,25,19,27,108,1
12,8,48,32,60,19,48,108,82,36,121,63,4,1
8,12,33,32,36,65,48,14,83,25,64,63,108,0
8,6,56,83,36,112,48,108,32,60,62,27,4,0
6,8,40,82,36,19,27,11,84,89,64,48,108,0
8,6,38,82,25,121,58,4,36,89,64,19,110,0
14,3,33,29,76,59,109,4,34,36,121,63,108,1
3,14,57,82,85,19,27,11,29,36,121,63,62,1
14,3,28,62,36,59,27,4,29,85,65,63,14,1
12,9,38,29,114,27,63,4,64,25,112,58,14,0
9,12,30,82,25,62,48,14,110,114,64,63,4,1
4,1,36,32,76,102,48,4,82,36,19,58,14,0
1,4,31,82,36,59,48,14,32,85,64,63,4,1
8,3,37,32,76,62,8,4,29,89,133,63,14,1
3,8,47,82,36,62,48,14,84,25,133,19,108,1
8,3,57,32,36,59,19,110,82,25,133,83,14,1
6,11,38,72,89,121,48,108,82,25,90,19,4,0
11,6,35,83,76,112,8,4,36,25,32,27,11,1
12,1,34,32,36,64,19,4,82,76,112,48,14,1
1,12,36,82,36,51,15,14,32,89,19,48,4,1
12,1,33,82,36,64,27,4,110,76,19,48,14,0
13,14,30,66,77,2,8,14,62,36,59,27,110,0
14,13,31,82,36,121,27,4,32,25,119,48,14,1
11,13,25,75,25,64,58,110,82,35,6,27,4,1
13,11,25,82,35,112,63,14,75,76,83,48,4,0
9,8,33,32,25,112,63,14,29,35,64,8,4,1
8,9,24,29,25,19,63,110,82,76,64,27,4,1
9,8,43,32,76,131,27,4,45,25,62,63,110,0
3,7,36,82,85,64,19,4,29,25,116,27,72,1
7,3,45,83,25,116,19,72,32,85,133,58,14,1
3,7,30,29,85,121,48,4,32,25,64,19,14,1
13,6,41,82,76,45,15,14,110,25,59,8,4,0
6,13,40,82,35,62,27,110,84,56,75,97,4,1
7,3,50,103,76,116,19,72,29,25,64,27,4,1
3,7,41,82,56,10,27,11,75,25,62,63,110,1
7,3,58,32,85,64,19,14,29,25,80,27,4,0
14,8,51,62,56,133,27,110,82,76,65,15,4,0
8,14,31,75,76,116,63,110,82,25,59,27,4,1
11,9,38,82,25,62,97,75,29,56,19,27,14,1
9,11,26,75,25,81,63,14,82,56,121,97,110,0
3,13,36,82,25,10,63,14,75,56,116,97,4,1
